Channel_0,Average_0,Time,Time_Average,Channel_1,Average_1,Channel_3,Average_3,Blink,Don't Use,Blink_Averaged
-2919.278018,#DIV/0!,23.638,#DIV/0!,-3476.779294,#DIV/0!,-2401.015772,#DIV/0!,0,#DIV/0!,
-2906.708214,#DIV/0!,23.654,#DIV/0!,-3472.631745,#DIV/0!,-2382.118057,#DIV/0!,0,#DIV/0!,
-2928.369715,#DIV/0!,23.654,#DIV/0!,-3493.290953,#DIV/0!,-2465.764659,#DIV/0!,0,#DIV/0!,
-2928.717525,#DIV/0!,23.655,#DIV/0!,-3491.679056,#DIV/0!,-2430.833994,#DIV/0!,0,#DIV/0!,
-2914.135655,#DIV/0!,23.655,#DIV/0!,-3476.173431,#DIV/0!,-2367.835379,#DIV/0!,0,#DIV/0!,
-2920.815117,#DIV/0!,23.669,#DIV/0!,-3490.530906,#DIV/0!,-2444.084459,#DIV/0!,0,#DIV/0!,
-2938.63948,#DIV/0!,23.669,#DIV/0!,-3506.739633,#DIV/0!,-2466.665975,#DIV/0!,0,#DIV/0!,
-2906.259426,#DIV/0!,23.684,#DIV/0!,-3487.531507,#DIV/0!,-2367.233255,#DIV/0!,0,#DIV/0!,
-2910.305998,#DIV/0!,23.684,#DIV/0!,-3480.223742,#DIV/0!,-2396.008046,#DIV/0!,0,#DIV/0!,
-2926.944813,#DIV/0!,23.685,#DIV/0!,-3494.270806,#DIV/0!,-2470.476933,#DIV/0!,0,#DIV/0!,
-2926.503504,#DIV/0!,23.685,#DIV/0!,-3485.934569,#DIV/0!,-2397.137495,#DIV/0!,0,#DIV/0!,
-2905.687221,#DIV/0!,23.698,#DIV/0!,-3472.84118,#DIV/0!,-2374.410123,#DIV/0!,0,#DIV/0!,
-2924.652254,#DIV/0!,23.698,#DIV/0!,-3494.285766,#DIV/0!,-2452.375818,#DIV/0!,0,#DIV/0!,
-2930.76699,#DIV/0!,23.714,#DIV/0!,-3502.453708,#DIV/0!,-2430.392686,#DIV/0!,0,#DIV/0!,
-2913.428814,#DIV/0!,23.714,#DIV/0!,-3484.726582,#DIV/0!,-2365.396964,#DIV/0!,0,#DIV/0!,
-2921.555617,#DIV/0!,23.715,#DIV/0!,-3490.830098,#DIV/0!,-2443.108346,#DIV/0!,0,#DIV/0!,
-2934.230138,#DIV/0!,23.715,#DIV/0!,-3505.460587,#DIV/0!,-2462.439888,#DIV/0!,0,#DIV/0!,
-2924.076309,#DIV/0!,23.728,#DIV/0!,-3488.604858,#DIV/0!,-2375.614371,#DIV/0!,0,#DIV/0!,
-2921.772531,#DIV/0!,23.728,#DIV/0!,-3488.447782,#DIV/0!,-2411.016264,#DIV/0!,0,#DIV/0!,
-2933.75891,#DIV/0!,23.744,#DIV/0!,-3501.440195,#DIV/0!,-2475.518319,#DIV/0!,0,#DIV/0!,
-2920.744059,#DIV/0!,23.744,#DIV/0!,-3490.530906,#DIV/0!,-2400.993332,#DIV/0!,0,#DIV/0!,
-2910.526652,#DIV/0!,23.759,#DIV/0!,-3479.520641,#DIV/0!,-2379.197195,#DIV/0!,0,#DIV/0!,
-2925.519911,#DIV/0!,23.759,#DIV/0!,-3502.599564,#DIV/0!,-2462.705421,#DIV/0!,0,#DIV/0!,
-2934.87714,#DIV/0!,23.76,#DIV/0!,-3501.088644,#DIV/0!,-2437.461097,#DIV/0!,0,#DIV/0!,
-2921.660334,#DIV/0!,23.76,#DIV/0!,-3484.498448,#DIV/0!,-2368.392624,#DIV/0!,0,#DIV/0!,
-2922.56539,#DIV/0!,23.774,#DIV/0!,-3496.256693,#DIV/0!,-2436.331647,#DIV/0!,0,#DIV/0!,
-2940.670246,#DIV/0!,23.774,#DIV/0!,-3505.094077,#DIV/0!,-2456.811339,#DIV/0!,0,#DIV/0!,
-2923.870615,#DIV/0!,23.775,#DIV/0!,-3490.699202,#DIV/0!,-2373.160997,#DIV/0!,0,#DIV/0!,
-2925.246898,#DIV/0!,23.775,#DIV/0!,-3490.422449,#DIV/0!,-2407.497018,#DIV/0!,0,#DIV/0!,
-2938.441265,#DIV/0!,23.788,#DIV/0!,-3506.48158,#DIV/0!,-2469.684075,#DIV/0!,0,#DIV/0!,
-2932.921173,#DIV/0!,23.788,#DIV/0!,-3499.592684,#DIV/0!,-2400.002259,#DIV/0!,0,#DIV/0!,
-2929.540303,#DIV/0!,23.804,#DIV/0!,-3497.445981,#DIV/0!,-2380.49868,#DIV/0!,0,#DIV/0!,
-2934.742504,#DIV/0!,23.804,#DIV/0!,-3506.287105,#DIV/0!,-2455.031147,#DIV/0!,0,#DIV/0!,
-2945.853747,#DIV/0!,23.805,#DIV/0!,-3511.586543,#DIV/0!,-2422.961504,#DIV/0!,0,#DIV/0!,
-2923.900534,#DIV/0!,23.805,#DIV/0!,-3494.670976,#DIV/0!,-2364.521828,#DIV/0!,0,#DIV/0!,
-2927.277664,#DIV/0!,23.818,#DIV/0!,-3496.260433,#DIV/0!,-2432.412232,#DIV/0!,0,#DIV/0!,
-2939.630553,#DIV/0!,23.818,#DIV/0!,-3498.549252,#DIV/0!,-2454.91147,#DIV/0!,0,#DIV/0!,
-2927.244005,#DIV/0!,23.834,#DIV/0!,-3492.247521,#DIV/0!,-2370.561766,#DIV/0!,0,#DIV/0!,
-2923.088976,#DIV/0!,23.834,#DIV/0!,-3493.851938,#DIV/0!,-2405.271778,#DIV/0!,0,#DIV/0!,
-2948.415578,#DIV/0!,23.835,#DIV/0!,-3518.187467,#DIV/0!,-2483.271131,#DIV/0!,0,#DIV/0!,
-2939.077048,#DIV/0!,23.835,#DIV/0!,-3505.33717,#DIV/0!,-2409.438026,#DIV/0!,0,#DIV/0!,
-2929.974132,#DIV/0!,23.848,#DIV/0!,-3499.151376,#DIV/0!,-2370.42713,#DIV/0!,0,#DIV/0!,
-2945.565775,#DIV/0!,23.848,#DIV/0!,-3510.819864,#DIV/0!,-2463.438442,#DIV/0!,0,#DIV/0!,
-2946.549368,#DIV/0!,23.864,#DIV/0!,-3510.677748,#DIV/0!,-2431.682951,#DIV/0!,0,#DIV/0!,
-2923.810777,#DIV/0!,23.864,#DIV/0!,-3490.605704,#DIV/0!,-2365.030454,#DIV/0!,0,#DIV/0!,
-2935.202512,#DIV/0!,23.865,#DIV/0!,-3504.577971,#DIV/0!,-2438.549408,#DIV/0!,0,#DIV/0!,
-2945.259103,#DIV/0!,23.865,#DIV/0!,-3512.865589,#DIV/0!,-2464.085444,#DIV/0!,0,#DIV/0!,
-2922.490592,#DIV/0!,23.878,#DIV/0!,-3491.940849,#DIV/0!,-2379.627284,#DIV/0!,0,#DIV/0!,
-2927.389861,#DIV/0!,23.878,#DIV/0!,-3490.149437,#DIV/0!,-2402.220019,#DIV/0!,0,#DIV/0!,
-2938.62078,#DIV/0!,23.894,#DIV/0!,-3507.020125,#DIV/0!,-2468.891216,#DIV/0!,0,#DIV/0!,
-2934.757464,#DIV/0!,23.894,#DIV/0!,-3499.461788,#DIV/0!,-2403.558904,#DIV/0!,0,#DIV/0!,
-2925.153401,#DIV/0!,23.895,#DIV/0!,-3490.429929,#DIV/0!,-2381.24292,#DIV/0!,0,#DIV/0!,
-2940.427152,#DIV/0!,23.895,#DIV/0!,-3505.767259,#DIV/0!,-2461.175802,#DIV/0!,0,#DIV/0!,
